rowType,code,name,parentCode,unit,priceA,priceB,directoryCategory,navigation,branch,operation,patientOrToothCondition,quantityRule,exclusion,priceEvidenceLevel,clinicalEvidenceLevel,hospitalConfirmation,clinicalStatus,sourcePage
"main","012406000010000","牙髓活力测验费","","牙","5","5","诊查","检查与评估","常规根管治疗","本次实际实施操作","{}","按牙及实际实施数量","","A","C","是","根管候选；需临床与医保物价复核","4"
"main","012406000020000","颌位转移检查费","","次","480","480","诊查","检查与评估","","","{}","按次及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","4"
"main","012406000030000","全口牙周系统检查费","","次","70","63","诊查","检查与评估","","","{}","按次及实际实施数量","012406000040000 / 012406000050000","A","C","是","仅目录；临床规则未审，不可开单","4"
"main","012406000040000","牙周探诊费","","次","45","41","诊查","检查与评估","","","{}","按次及实际实施数量","012406000030000","A","C","是","仅目录；临床规则未审，不可开单","4"
"main","012406000050000","牙周指数检查费","","项","20","18","诊查","检查与评估","","","{}","按项及实际实施数量","012406000030000","A","C","是","仅目录；临床规则未审，不可开单","4"
"main","012406000060000","咬合力检测费","","牙","15","15","诊查","检查与评估","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","5"
"main","012406000070000","下颌运动功能检查费","","次","40","40","诊查","检查与评估","","","{}","按次及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","5"
"main","012406000080000","咀嚼效率检查费","","次","20","20","诊查","检查与评估","","","{}","按次及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","5"
"main","012406000090000","唾液腺功能测定费","","次","15","15","诊查","黏膜与唾液腺治疗","","","{}","按次及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","5"
"main","013105010010000","橡皮障隔离费","","次","10","10","牙体牙髓","跨治疗辅助项目","常规根管治疗","本次实际实施操作","{}","按次及实际实施数量","","A","C","是","根管候选；需临床与医保物价复核","5"
"main","013105010020000","牙体开髓引流费","","牙","42","42","牙体牙髓","","牙髓急症开髓引流","急症处置项目","{}","按牙及实际实施数量","013105010030000 / 013105010040000 / 013105010050000 / 013105010060000 / 013105010070000 / 013105010080000 / 013105010090000 / 013105010100000 / 013105010110000","A","C","是","根管候选；需临床与医保物价复核","5"
"main","013105010030000","牙髓失活费","","牙","27","27","牙体牙髓","","常规根管治疗","本次实际实施操作","{}","按牙及实际实施数量","","A","C","是","根管候选；需临床与医保物价复核","5"
"main","013105010040000","干髓治疗费","","牙","20","20","牙体牙髓","牙髓与根尖治疗（含根管）","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","5"
"main","013105010050000","根管预备费","","根管","142","142","牙体牙髓","","常规根管治疗","本次实际实施操作","{}","填写本次实际处理根管数；不得超过本牙参考总数","","A","C","是","根管候选；需临床与医保物价复核","5"
"main","013105010060000","根管冲洗费","","根管","12","12","牙体牙髓","","常规根管治疗","本次实际实施操作","{}","填写本次实际处理根管数；不得超过本牙参考总数","","A","C","是","根管候选；需临床与医保物价复核","5"
"main","013105010070000","根管充填费","","根管","114","114","牙体牙髓","","常规根管治疗","本次实际实施操作","{}","填写本次实际处理根管数；不得超过本牙参考总数","","A","C","是","根管候选；需临床与医保物价复核","6"
"main","013105010080000","根管再治疗费","","根管","100","100","牙体牙髓","","根管再治疗","根管再治疗项目","{}","填写本次实际处理根管数；不得超过本牙参考总数","","A","C","是","根管候选；需临床与医保物价复核","6"
"main","013105010090000","根管内异物取出费","","根管","600","600","牙体牙髓","","根管内异物取出","异物取出项目","{}","填写本次实际处理根管数；不得超过本牙参考总数","","A","C","是","根管候选；需临床与医保物价复核","6"
"main","013105010100000","活髓保存治疗费","","牙","125","125","牙体牙髓","牙髓与根尖治疗（含根管）","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","6"
"main","013105010110000","牙髓再生治疗费","","牙","1125","1125","牙体牙髓","牙髓与根尖治疗（含根管）","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","6"
"main","013105010120000","牙体缺损直接粘接修复费","","牙","110","110","牙体牙髓","牙体保存、充填与预防","","","{}","按牙及实际实施数量","013105010100001 / 013105010120013","A","C","是","仅目录；临床规则未审，不可开单","6"
